#Frame      Mode1    Mode2    Mode3    Mode4    Mode5    Mode6    Mode7    Mode8    Mode9   Mode10
     145   39.576   -8.599   -7.183   -5.636   17.349   -0.234   11.370   -4.476    0.015   -0.206
     146   35.913  -16.095   -2.797   -6.981   17.632    5.408    9.627   -7.896    4.601    0.554
     147   35.743   -3.118    4.452  -12.188   10.257    8.530    5.730   -9.052    4.133   -1.677
     148   33.763  -19.504   -5.039   -5.634   17.076   10.372    1.163   -5.255    2.789   -0.513
     149   35.243   -9.176   -6.109  -13.618   17.253    9.935    5.349   -3.187   11.397    0.418
     150   33.249   -5.513  -11.420  -15.822   14.589   10.864   -0.005   -5.367   12.382   -1.084
     151   40.819   -7.787   -4.211   -7.189   16.407    1.348    7.628   -5.134    2.542    1.264
     152   36.890  -17.769    2.164  -21.656   12.532    7.512    0.626   -9.954    1.662    3.279
     153   36.297  -15.791    7.225  -19.127   15.187    6.542    3.843   -6.645    4.409    2.531
     154   32.376   -7.263  -15.436   -8.264   13.868    3.834   -2.541   -5.057   11.952   -0.934
     155   31.523    1.605   -4.305   -9.991   11.719    5.530   10.056   -4.673   10.418    2.284
     156   31.527    0.798   -8.286   -6.623   10.962    4.135    4.800    0.979    9.985   -2.238
     157   37.721   -2.027  -19.070   -7.598   15.596    0.221    7.074   -1.348    5.019   -1.910
     158   34.112    8.225  -14.256  -11.281    7.841   -1.741    0.333   -2.337    8.800   -2.458
     159   39.551  -13.738   -7.103  -16.517    8.514    1.454   -7.235   -5.337   -0.191   -2.030
     160   46.221  -12.058   -5.228  -19.445   10.955   -0.542   -2.224   -9.278   -2.345    1.683
     161   39.831   -4.285    8.499  -16.487    6.726    4.951    3.279   -6.310    1.681   -3.183
     162   43.446   -0.194    0.667  -19.766    8.250    6.396    0.431   -8.103    0.332    1.847
     163   42.328   -1.175   -6.133  -19.118   11.651   -0.995    5.111   -5.345    3.336    2.835
     164   43.674    1.445  -11.985   -9.914    9.607   -0.218   -2.245   -4.738   -2.472   -3.031
     165   42.368   -1.528   -6.200  -15.445    4.338   -0.343   -6.098   -8.118   -4.773    4.467
     166   42.582   -8.864   -0.782  -18.036    9.929   -1.260   -8.446   -7.973   -0.288    3.346
