#Frame      Mode1    Mode2    Mode3    Mode4    Mode5    Mode6    Mode7    Mode8    Mode9   Mode10
     162  -58.865  -10.898   -0.905  -14.169    8.129    3.273    5.084    7.239   12.999    4.080
     163  -47.711  -14.534    3.606  -12.515    5.170   -6.406    1.818    4.003   25.545    8.894
     164  -49.359   -8.613    5.037  -13.950    9.207    7.072   -0.057    8.040   23.704    4.545
     165  -48.811  -24.381   16.616   -4.267    9.970   -0.859    1.610    7.514   21.060    7.433
     166  -60.631  -18.330    7.197   -7.574    5.631    1.125   -9.659   12.806   27.199   10.091
     167  -29.198  -28.421   -5.964   -6.993    8.355   -1.526    8.269   11.019   17.166   10.653
     168  -49.920  -15.273   -9.030   -6.005    8.070   -4.080    2.544    7.205   24.804   12.944
     169  -54.882  -10.031   -4.704  -12.128   13.457    9.880   -2.434    6.012   19.197    8.095
     170  -47.316  -29.586  -19.104   -8.733   13.653    4.974    0.272   13.641   25.287   14.414
     171  -46.922  -15.257  -21.337   -2.905   12.238    9.224   -5.597   13.912   31.289   -0.324
     172  -48.829  -13.937  -17.143   -0.865   13.404    6.404   -3.656   12.302   35.099    0.175
     173  -46.512   -8.666  -13.801   11.508   17.499   14.975   -6.660    9.427   28.173   -5.803
     174  -56.511    4.859   -8.053    9.932   13.414   13.406    0.804    0.409   21.718   -8.301
     175  -50.431   -7.421  -11.357   12.628   10.324    8.845    0.823    8.994   19.184   -4.482
     176  -61.964    5.727   -9.729   12.545   14.897   11.569   -7.418    3.401   22.265   -6.225
     177  -49.826  -21.445  -14.091   11.412   14.022   11.177   -4.560    4.119   21.546   -2.823
     178  -55.138   -9.968  -11.107   13.748   12.024    2.445   -1.615   -1.799   26.662   -5.017
     179  -60.080  -18.653   -8.240   -1.459    7.374    3.172   -7.852    3.353   29.103   -1.055
     180  -68.991   -2.338    5.162  -13.267   -1.805   -0.364    1.109    9.215   25.099   -4.332
     181  -64.953    1.011  -16.289   -1.830    4.105   13.750   -7.019    3.067   30.055    3.677
     182  -50.923  -17.270  -13.736    0.641    6.596    9.878   -3.369    6.658   17.342   -1.954
     183  -41.069  -19.942   -4.901   12.482   -1.310    7.002    3.596   -0.690   24.836    4.956
     184  -31.901   -3.970   -5.284    7.701    3.781    1.441    8.224  -10.104   16.808   -0.983
     185  -47.978   12.799  -13.483    1.137    3.067   24.372   -5.177    0.326   11.306    0.886
     186  -55.857   -2.407   -2.209   -3.804    2.872    5.599   -1.707   -3.842   10.602    1.277
     187  -51.410  -23.043    1.635   -4.875    9.214   -7.006   -2.330    5.712   10.239    6.612
     188  -46.042   -1.827    8.777    1.537    3.060    6.785   -6.479   -3.694    6.266    2.344
     189  -45.471  -23.550    4.495   -0.472    2.046   -5.997    1.247    5.517   10.296    4.682
     190  -54.255  -19.546   10.171  -18.080    4.984    2.515   -9.701    6.605    6.183    8.329
     191  -46.538  -28.065    6.411  -12.926    6.827   -3.413   -1.456    6.988   10.095    5.967
     192  -54.633  -17.679    5.521   -5.921   10.938   -3.063    7.617   -5.067   10.933    5.460
     193  -38.706  -21.334   11.979    3.024   13.372   -2.139    2.933   -8.802    8.387    3.636
     194  -38.656  -24.255   25.093    0.881   10.976    2.150    1.130   -9.803   12.599    2.294
     195  -35.550  -22.399   11.524    7.609   14.408    1.210    5.967  -10.737   12.276    2.223
     196  -19.536  -27.949   12.846    8.690   16.122    2.717    6.395  -14.967   10.600    2.883
     197  -14.157  -36.461   34.132   15.533   22.146    1.069    1.059  -15.757   10.006    0.243
     198  -21.905  -35.865   11.573    4.759   13.682    7.682   -5.719   -3.077   11.690    1.244
     199  -35.989  -39.076    8.811    2.674   16.454   -0.903   -1.800   -0.314   11.183    7.843
     200  -35.106  -23.901   21.798   10.537   14.413    6.023    1.630   -8.476    6.672    5.386
     201  -39.617  -16.556    2.926    7.321   14.348    3.258    8.189   -5.456    9.441    2.438
     202  -42.268  -16.281   -1.747    3.136   17.642    9.519   -5.511   -4.142    5.204    1.613
     203  -35.943  -24.428   21.129    2.356   17.973   -1.555   -0.894   -2.446   11.659   -1.007
     204  -31.408  -13.399    7.344    0.203   14.533    6.894    2.075   -5.166    8.917   -1.684
     205  -34.981   -7.176   17.285    8.185   22.077   11.327    2.825   -7.211   -0.426   -2.534
     206  -23.666  -18.190   29.846    1.977   17.431    6.294    5.500  -11.213    5.253   -1.254
     207  -16.856  -15.294   22.400    1.625   16.930    0.537    3.649  -11.937   10.555    3.510
     208  -25.430  -10.585   18.858   -4.015   14.544   18.577   -2.635   -6.911    6.833    2.774
     209  -25.858  -21.968   13.080    1.976   15.430    4.471    2.513   -9.580   10.256    3.261
     210  -29.503  -26.559   -3.510   11.863   17.202    3.408   -1.357   -8.414   13.806    6.801
     211  -33.591  -24.961   10.949   10.660   15.159    8.907   -2.019   -3.907   10.754    3.462
     212  -29.218  -21.735   21.599   13.364   12.683    6.842    7.622   -5.968   22.578    1.106
     213  -29.004  -31.771    3.652   14.034   13.502   -0.493    5.889   -6.535   17.332    8.531
     214  -37.037   -5.515   10.977    5.379   14.779   -1.848    2.940   -6.017   20.491    2.496
     215  -35.315   -6.571    3.108    7.039   13.748   11.180   -1.538   -5.421   17.600   -0.710
     216  -33.624  -14.941    8.091    9.942   15.065    2.032    3.769   -5.417   20.893    2.992
     217  -22.291  -33.709   12.677    1.299   17.904    4.596   -1.746   -2.653    7.669   -1.561
     218  -16.576  -39.647   16.523    6.766   14.459   -3.443    2.307   -2.176   19.519    3.057
     219  -20.096  -23.717    3.737   11.777   19.408    2.091    3.377  -12.704   14.135    8.356
     220  -12.305  -31.563    0.709    9.234   12.553   -0.858    1.359  -13.394   15.721    9.629
     221   -5.512  -24.938   15.540   16.141   18.834   -4.014    6.931  -14.333   11.386    4.220
     222  -20.730  -26.060    6.158   14.821   14.902    0.234    8.278  -10.056   11.592    5.275
     223  -13.172  -24.614   17.294   21.118   12.801   -2.746    8.515  -14.323    8.306    6.286
     224  -10.640  -37.971   13.816   14.876   12.617   -7.562   12.986  -13.131   13.076    6.685
     225  -14.229  -31.871    6.265   14.565   11.472   -0.215    7.344  -10.800   11.438    8.550
     226  -28.553  -31.141   22.428   22.178   11.499    0.714    2.934   -8.748   25.215    7.420
     227  -28.507  -24.957   16.657   20.878   10.858   -7.316   10.542  -12.256   13.919    6.379
     228  -33.364  -28.439    9.332   20.392   13.552   -5.586    9.135  -10.479   16.878   14.067
     229  -27.938  -30.369   19.059   25.737   11.856   -1.687    0.725  -11.726   12.804   11.713
     230  -26.562  -26.276   22.850   28.324   11.204    0.243   -0.442  -12.520   13.146    7.183
