#Frame      Mode1    Mode2    Mode3    Mode4    Mode5    Mode6    Mode7    Mode8    Mode9   Mode10
     105   25.032  -34.369    6.676   -4.778    0.985   -4.806   -3.305   -8.221  -10.573    2.030
     106   20.258   -3.128   -9.800    3.910    2.368   -7.843   -9.374   -6.878  -15.880   12.637
     107   18.833  -17.531   -5.478   -4.906    0.132   -3.454    0.346   -2.535  -13.649    7.003
     108    3.721  -34.974    0.872   -8.662    1.352   -2.358    5.457    2.010  -11.748   12.545
     109    9.563  -46.500   -0.300   -9.840  -10.525   -7.907   13.019    0.309   -8.343    4.945
     110   -1.685  -48.103    1.177  -15.435   11.164  -11.147    5.643   -1.474  -12.766    4.221
     111    6.638  -49.217    4.330  -16.459   -1.973   -8.591    9.566   -3.371  -11.037    3.553
     112    5.454  -50.608    6.026  -10.773   -1.109   -9.307    4.722    0.790   -7.931    9.219
     113   -5.389  -37.070    2.378   -4.572   -9.437    3.644   -1.427    5.044  -13.313   10.267
     114   -0.956  -37.962    1.613   -9.040   -7.974   -3.680   -1.451   -8.826  -11.938    3.281
     115    9.945  -39.486    2.354  -12.234   -4.501   -6.508    1.629   -7.615  -10.355    5.151
     116    1.958  -45.751    3.314  -15.857   -1.667    5.356    0.459   -4.996   -8.593    8.155
     117   19.898  -36.951    1.046   -5.006    5.975   -6.048    0.032   -7.588   -7.933   15.198
     118   15.080  -36.487    0.278  -12.251   -2.123    0.961    2.316  -11.357   -3.369    7.713
     119    5.266  -40.262    2.856  -11.425    2.715    3.307    3.487   -0.447   -8.881   13.025
     120    3.222  -45.749    6.017  -13.186   -6.238   -2.252    6.212   -3.368   -9.954    3.868
     121  -13.874  -56.744    3.100  -10.884    0.811    0.954    7.326    3.395   -8.035    7.188
     122  -18.147  -54.533   -2.927  -14.466    1.167   -6.355    0.711   -3.345   -3.502   11.422
     123   -3.827  -44.208   -1.579  -12.867    9.881   -1.767   -1.157   -7.596   -5.912    8.901
     124   21.220  -44.326    8.444  -12.316    4.574   -6.536   -4.578  -11.261   -8.325    8.958
     125   11.220  -52.438    6.509  -28.683    1.022   -9.090    3.297  -11.357   -8.164    2.113
     126   21.447  -47.787   13.493  -14.326    1.883   -9.706   -7.069   -4.407   -5.776   11.048
     127   31.832  -43.926   15.150   -2.189    1.106   -4.452   -4.518   -4.461  -10.030    9.508
     128   21.850  -39.243    2.609  -11.128   10.336    2.506   -2.457   -6.397   -1.989   15.036
     129    6.822  -36.536    0.641   -6.560   10.840   -0.562   -6.523   -1.902   -7.226   12.592
     130   -4.441  -41.479   -7.685   -4.972    7.934   -1.075    8.977   -3.772   -8.670   12.829
     131    1.735  -39.352   -8.500  -10.297   -0.415   -8.479    3.588  -15.407   -7.557    5.302
     132   26.842  -45.522    6.886  -26.881    6.414  -16.288    0.443   -6.274  -11.942    8.302
     133   22.936  -48.209    8.953  -16.113    1.501   -8.389    7.237   -4.272  -13.843    0.668
     134   36.801  -46.923   16.951   -9.762   -0.885   -0.887   -3.271   -8.842  -11.466    4.461
     135   19.460  -46.229    7.813  -10.202   -0.905  -19.659    3.379   -6.614   -9.867    7.278
     136   27.788  -43.906   10.293   -9.509    2.866   -5.704   -1.337   -4.678   -7.851   11.243
     137   17.035  -46.302    4.816  -19.882   14.565   -7.254    3.384    2.172  -13.365    2.644
