#Frame      Mode1    Mode2    Mode3    Mode4    Mode5    Mode6    Mode7    Mode8    Mode9   Mode10
      87   96.213  -69.514   10.998   52.955   22.735    7.105    2.577   -6.061   -6.797    0.662
      88   75.701  -77.983   -5.630   52.933   15.232    7.460    0.510    1.135   -7.462  -12.266
      89   84.983  -83.838    2.857   51.986    6.554    3.975    7.543   -1.245  -12.842    2.479
      90   92.882  -54.966   14.402   51.104   25.906    7.016   10.788   -0.090  -13.754   -1.037
      91   87.295  -51.881    4.123   54.377   19.122    4.785   10.769    2.327  -16.986   -5.249
      92   86.678  -67.888    5.624   50.191   12.117    7.183    5.331    0.811  -12.064    3.778
      93   78.574  -60.524   -1.732   55.275   18.236    7.672    6.024   12.028  -12.015    1.585
      94   85.328  -52.972    8.883   42.537   23.743    8.045   12.295    3.215  -17.967    6.400
      95   41.128  -49.570  -15.690   35.957   18.591    0.635    5.460    2.767  -15.486    4.316
      96   42.259  -51.801  -23.288   37.814   14.803   -1.030    9.789    2.792  -12.855    5.484
      97   34.365  -44.245  -18.560   37.596   13.458    1.226    7.310    9.622  -18.643   -0.536
      98   50.109  -58.381  -16.242   35.672   17.695   -0.805    7.509    2.985  -13.990    0.907
      99   56.209  -78.676  -11.818   49.678    5.344    4.549    2.571    0.634  -12.115    1.593
     100   53.384  -66.971  -17.523   42.478   14.306   13.237    5.724    5.550   -4.320    4.007
     101   54.804  -63.634  -19.681   35.268   14.103   -0.906    9.116   -5.985  -13.454   -5.441
     102   62.086  -67.077  -12.772   40.122   12.116    1.770   12.542    2.755   -8.813   -5.889
     103   55.567  -50.931  -19.965   38.443   15.285    7.092   10.114   10.040  -10.525    4.014
     104   53.323  -56.020  -15.887   41.380   18.737    7.902   10.746    5.964  -11.698    7.382
     105   71.120  -47.179  -15.712   36.130   12.021    7.989   12.451    9.683   -5.669   -2.954
     106   50.384  -58.489  -20.782   36.702   11.847    6.005   11.340    6.614  -11.471    4.024
     107   29.996  -52.599  -36.399   34.967   11.212   -0.752    5.730    3.888  -14.884   -2.631
     108   48.374  -60.850  -25.922   36.376    4.982    3.445    6.637    9.170  -11.667   -1.654
     109   34.241  -44.019  -36.570   28.807   14.730   -0.038    9.928   10.635   -7.239    4.429
     110   27.327  -66.374  -35.843   38.317    5.784    7.162    4.379    9.789   -9.052    3.370
     111   34.220  -65.713  -31.414   38.660   11.084    5.012    4.981    2.132  -11.349   -7.973
     112   42.889  -46.542  -31.903   31.416   14.537    5.690   10.262   14.192   -9.675   -5.215
     113   27.699  -41.337  -45.517   26.123   18.809    7.365   17.479   15.142   -8.658   -5.085
     114   39.915  -53.308  -43.163   32.296    8.380    4.487   12.764   10.736   -8.321    0.847
     115   47.857  -59.435  -33.834   31.519   13.940    4.276   13.074   10.508  -10.342   -4.914
     116   62.728  -42.739  -15.631   34.932   23.185   -1.917   12.031    8.436  -13.863   -0.683
     117   62.479  -39.341  -16.201   27.668   17.414   10.384   14.202   11.341  -10.266    0.596
     118   55.229  -30.730  -17.880   30.208   22.906    5.670    6.379   14.307  -15.051   -4.902
     119   65.230  -40.522  -22.725   26.257   18.495   15.403   17.164   19.346   -1.683   -1.273
     120   57.241  -25.697  -13.323   32.158   30.799    6.122   12.354   13.453  -13.244    6.937
     121   61.366  -28.948   -7.555   32.576   30.257    8.483   10.667    6.385  -11.344   10.093
     122   71.468  -32.012   -4.366   37.201   28.557   15.105   11.352   18.646   -1.814    3.446
     123   76.449  -37.089   -4.169   39.217   28.321   10.518   11.423   17.587   -4.187    0.027
     124   65.076  -45.245   -8.222   28.070   32.658   -1.226   14.595    7.459   -7.450    5.410
     125   60.304  -33.504   -6.092   33.184   36.112    1.333   14.098   14.478   -5.467   -4.348
     126   47.334  -26.819    0.411   35.715   42.035   -3.145    8.529    9.839  -16.275    0.538
     127   35.783  -19.500   -4.457   45.161   43.724   -0.518   10.167   16.967  -14.413   11.027
     128   27.074  -27.729  -28.340   39.489   30.658   -0.405    8.977   11.018  -15.204   -1.285
     129   44.031  -40.766  -19.377   34.790   28.300    1.202    7.763   14.732   -8.911    7.171
     130   38.028  -35.527  -21.519   33.855   29.560   -3.330    9.615   14.609  -10.787    6.519
     131   56.442  -43.538  -19.316   28.669   26.311   -7.963   16.139   -4.207  -17.398    8.627
     132   70.102  -50.825   -7.117   39.812   25.451   -4.646   13.314    1.472  -18.034   11.488
     133   63.426  -62.670  -12.277   31.935   26.886   -6.057   10.785   -5.822   -2.880   -2.217
     134   46.867  -52.482  -11.776   38.514   33.220   -9.316    8.399   -0.592  -11.369   10.168
     135   45.941  -50.425  -14.307   33.525   33.487  -11.682    6.646   -2.280   -9.160    4.567
     136   35.299  -50.410  -26.575   27.067   28.626    1.615    7.034    3.757   -1.516   -2.140
     137   53.414  -57.540  -19.160   32.975   26.707    1.603   15.232    6.262    3.919    8.951
     138   54.543  -60.706   -8.838   22.186   33.599  -11.126   16.637   -3.204    3.485    5.113
     139   49.741  -40.147   -1.860   35.418   36.288   -3.355    6.690    6.311   -7.153    0.314
     140   42.677  -42.446  -18.744   34.047   29.539    2.760    5.725   17.780   -1.604   -5.058
     141   48.386  -57.750  -16.342   40.693   25.735    3.503    7.575   22.311   -3.296   -5.762
     142   60.424  -43.176  -15.832   32.459   23.856    7.836   10.669   14.954   -5.748   -2.236
     143   48.855  -47.696  -29.366   25.912   25.539    0.625    9.732   16.176    2.211   -4.356
     144   47.477  -35.273  -26.578   27.732   26.480   -1.704    5.764   15.791  -10.316  -15.181
     145   51.770  -39.204  -17.442   32.406   28.030   -1.621   11.064   21.875  -10.697    0.896
     146   49.900  -48.561  -18.761   46.525   33.834    0.183    6.058   25.484   -1.218   -2.480
     147   58.345  -39.282   -8.017   39.890   27.738   -0.485   15.572   21.127  -11.163    3.366
     148   63.390  -39.904   -6.116   48.755   37.495   -0.707    5.922   23.492  -10.958   -6.162
     149   72.697  -28.504   -1.422   33.959   38.941    0.698   14.132   15.586  -14.607    5.371
     150   80.514  -53.355    8.388   40.847   27.416    6.661   13.158   14.767   -8.901    8.624
     151   74.015  -55.729  -15.302   40.448   26.897   12.254   12.339   16.808    6.459   -0.773
     152   57.168  -78.204  -24.536   32.809   12.837    9.399    6.462   13.150    4.773    5.462
     153   51.275  -60.045  -28.017   32.005   17.397   11.896    4.645   10.724   -0.326   -3.197
     154   61.717  -43.618  -14.968   35.244   32.634   10.345    3.346    9.766   -4.233    2.745
     155   62.817  -68.453  -20.446   42.935   26.141    5.903    9.704    6.730   -1.701    1.330
     156   53.048  -51.040  -27.782   33.923   39.390    7.070    6.454    8.770    3.285    2.225
     157   64.633  -63.580  -17.907   33.067   34.533    0.361    4.960    3.341    4.890   -3.971
     158   70.510  -74.255  -17.736   33.604   19.905    8.691   12.446    6.666    9.357    9.536
     159   82.027  -82.246  -12.559   42.092   22.834    7.211    7.246    5.120   11.216   -2.408
     160  100.022  -42.117   -0.794   33.190   33.940   10.830   14.735   15.256    8.513   -7.432
     161   97.031  -60.899   -1.161   35.062   32.579    7.331    9.178    3.106    8.657  -10.085
     162   78.725  -50.788   -9.703   41.922   32.157    6.173    9.937   12.516    4.314   -8.809
     163   65.273  -32.107  -13.244   35.590   38.662    3.698    6.883   13.368    2.343   -7.688
     164   69.265  -46.762  -12.686   31.378   32.409    0.519   13.455    7.333    2.136   -0.666
     165   43.092  -45.784  -25.432   39.817   28.278    1.067    6.012   12.273   -0.044    1.213
     166   63.075  -75.480  -21.845   35.344   14.238    5.118   10.436    9.337    9.817    2.143
     167   46.203  -62.847  -21.843   35.701   24.305    0.453    9.273    3.230    2.985    3.450
     168   71.343  -82.684  -27.379   32.194   14.959    9.469   13.260    4.755   12.910    4.948
     169   82.372  -94.382  -16.162   42.562   10.747   10.330    9.238    4.868    5.626    1.645
     170   72.372  -75.272  -21.797   38.508   22.547    7.942   12.618   13.596   16.362    7.029
     171   69.510  -85.960  -16.429   34.114   13.142    7.753    8.337    2.546    8.940   12.986
     172   65.899  -73.670  -21.352   35.166   28.718   -2.067    9.788    2.781   12.229   -1.127
     173   61.197  -53.985  -14.133   36.920   26.425    5.291   12.261    7.778    1.495    4.057
     174   53.024  -56.483  -21.497   29.039   19.970   11.205    7.805   14.382    2.616   10.209
     175   57.932  -51.483  -20.497   28.698   20.773    0.313   11.703    2.636   -5.002    3.524
     176   50.644  -72.239  -25.145   28.924   15.854    6.187   14.754   11.721    9.167    9.706
     177   45.820  -87.863  -40.319   25.965    6.570    1.198    9.022    9.645   15.536    3.915
     178   45.501  -63.666  -44.361   13.750    8.890   -0.051   17.470    8.831    7.720    0.321
     179   34.158  -59.884  -37.129   31.540   19.591   -2.222    3.897   13.967    7.765    6.281
     180   56.857  -60.584  -24.091   27.035   16.670   -2.227    7.304    3.554   -0.166    8.097
     181   65.972  -63.326  -20.733   31.163   17.866    4.887   11.829   18.263   10.071    1.994
     182   52.277  -42.801  -22.922   22.120   26.285   -3.894    8.356   11.768    3.506    2.327
     183   65.163  -58.079  -11.844   17.783   26.244    2.755   12.341    2.428    6.937   10.752
     184   48.356  -46.597  -27.234   23.610   15.500   -2.840   15.255   12.506    2.395   -0.785
     185   54.340  -59.758  -32.809   20.679    8.148    4.574   19.578   13.526    8.336    7.498
     186   71.254  -42.567  -10.480   17.672   18.178   -2.050   20.237    0.598   -7.887    3.416
     187   62.313  -58.128  -27.942   23.104    6.659    3.821   14.123    0.325    2.606    7.753
     188   46.824  -51.979  -26.523   25.660   10.393   -3.418   12.439    3.316   -4.972    8.691
     189   55.668  -53.022  -23.296   18.204   12.925    6.148   14.087    4.461   -2.976    1.793
     190   67.349  -48.236  -24.623    8.560   16.629    7.086   17.275   -4.451    3.448   -5.803
     191   78.901  -55.048   -9.940   28.060   14.374   -0.891   14.156   -3.330   -6.432    6.901
     192   61.755  -37.849  -20.847   26.285   15.690   -0.487   12.356   -1.546   -4.323   -0.028
     193   46.589  -25.116  -24.854   30.302   18.305   -0.959    8.689    6.846  -18.438    1.313
     194   57.472  -50.450  -19.968   24.402   10.473   -3.845    8.518   -2.296  -11.115    4.156
     195   45.648  -45.281  -21.572   15.604    8.364    0.883    5.352   -7.699  -11.930    1.204
     196   44.672  -37.030  -23.659   20.319   17.169    1.757    8.613    7.990   -1.025    8.716
     197   51.969  -45.306  -27.763    7.415   14.484   -0.923    8.747   -2.108    0.558    1.553
     198   74.982  -36.347   -4.525   21.448   13.118    3.801    7.955    0.166  -11.083    3.767
     199   76.334  -40.980   -8.854   20.801   18.245    0.145   10.406    2.390   -0.817    1.507
     200   79.090  -46.985   -9.208   21.037   12.718    2.017   12.458   -0.787    1.587    0.649
     201   87.854  -58.171    0.491   17.931   19.013   -5.828    9.568  -11.701    1.293    5.381
     202   68.744  -44.209  -12.840   19.412   11.796    1.607    7.975    2.528   -4.205   -5.620
     203   48.412  -58.599  -28.890    7.244   14.758  -10.382   10.322    3.143   10.428   -1.825
     204   55.170  -61.431  -24.875    8.547   12.503  -10.236    7.050   -1.890    8.752   -6.218
     205   44.673  -55.344  -27.308    7.064   14.444   -8.278    7.950   -2.124    4.382  -10.603
     206   57.851  -76.273  -24.826    2.880    6.536  -11.084    9.851  -11.602    9.307   -4.022
     207   42.225  -57.327  -29.732    7.579    5.644  -10.339    9.620    0.331   -5.826   -2.297
     208   51.671  -55.543  -23.356    5.983   15.820  -11.463    5.100   -0.652    6.990   -9.288
